ShortID,SY,SM,pH,Ca,Mg,KNa,Cl,SO4,HCO3,NO3,F
W15,2002,9,7.1,98.6,31.7,56.63,43.1,250.52,191.52,32.29,0.36
W15,2003,6,7.9,138.36,47.12,105.1,161.72,399.56,147.39,0.6,0.4
W15,2004,9,8.3,65.2,9.27,19.5,67.3,44.3,104,2.2,0.2
W15,2005,4,8.1,63.6,23.3,35,67.8,46.4,113,1.41,0.2
W15,2006,9,7.7,130,63.7,94.6,169,385,94.7,16.5,0.2
W15,2007,4,6.6,143,83,16.2,169,301,172,10.7,0.2
W15,2008,9,7.5,146,77.8,109,106,391,296,5.4,0.2
W15,2009,4,7.5,159.2,88.2,39.2,132,405,231,4.25,0.2
W15,2010,9,6.7,100.36,45.43,61.3,125,241,313.25,0.8,0.22
W15,2011,4,7.5,88.9,31.7,369.72,426,222,395.5,0.7,0.08
W15,2011,9,7.6,72.3,25.8,403.2,172,326,696.3,139.5,0.12
W15,2012,4,7.1,84.8,30.3,251.4,123,241,535.8,24.7,0.18
W15,2012,9,6.5,111.3,39.7,268.8,132,310,629.2,2.1,0.34
W15,2013,7,8.3,85.3,43.22,143.6,168.54,288.79,151.17,12.55,0.29
W15,2013,10,6.88,95.04,44.22,152.74,181.15,321.01,186.42,9.42,0.32
W15,2014,8,6.86,108.01,46.45,164.06,206.08,357.16,173.94,14.03,0.34
W15,2014,12,7.5,117.79,55.23,160.62,194.72,422.36,173.73,11.88,0.28
W15,2015,4,7.69,118.04,55.86,158.2,190.76,440.27,160.72,18.81,0.36
W15,2015,9,8.26,118.4,53.58,89.06,114.21,382.85,167.41,9.42,0.24
W15,2016,6,7.35,153.54,52.06,91.29,103.79,397.36,186.9,26.97,0.19
W15,2016,11,8.05,163.57,46.49,147.95,178.21,363.25,225.46,28.7,0.325
W15,2017,7,7.08,158.2,123.5,206.07,233.57,748.9,193.31,0.4,0.46
W15,2017,10,6.9,195.27,58.46,136.24,336.99,409.5,185.96,4.74,0.15
W14,2002,9,7,259.72,43.66,85.94,134.15,277.42,228.36,427.68,0.3
W14,2003,6,8.64,229.89,45.83,89.5,140.98,300.82,57.34,442.5,0.25
W14,2004,9,8.3,37.4,74.4,189,137,98.8,359,51.9,1.7
W14,2005,4,8.1,35.8,32.9,69.3,133,99.2,386,41.9,2.1
W14,2006,9,7.4,55.9,70.5,174,117,227,389,40.7,1
W14,2007,4,7.4,80.4,49.8,137.3,171,119,387,20.3,2
W14,2008,9,7.6,42.9,52.9,217,73.4,155,266,30.6,1.2
W14,2009,4,7.3,98.9,65,172.3,158,222,355,37.5,0.4
W14,2010,9,7.5,49.75,30.11,106.1,98.2,104,282.5,87.24,0.05
W14,2011,4,7.5,83,29.6,182.54,148,196,210,176.7,1.32
W14,2011,9,7.5,46.9,16.7,123.1,83.4,36.7,243.8,122.7,0.52
W14,2012,4,7.9,50,17.8,211.2,102,44.6,275.5,131.1,0.605
W14,2012,9,7.9,55.8,19.9,148.3,121,61.1,318,232.1,0.69
W14,2013,7,7.855,114.3,37.985,127.235,120.57,274.9,272.405,126.53,0.53
W14,2013,10,7.81,172.8,56.07,106.17,120.14,488.7,226.81,20.96,0.37
W14,2014,8,7,174.78,64.91,113.29,125.74,639.46,139.15,2.34,0.39
W14,2014,12,7.75,211.91,65.91,115.26,122.41,584.08,246.88,9.17,0.3
W14,2015,4,7.9,198.58,67.93,114.23,122.37,664.59,222.09,0.1,0.44
W14,2015,9,8.22,216.16,66.63,112.42,134.04,585.86,261.04,0.67,0.35
W14,2016,6,7.8,202.71,65.21,111.47,152.78,749.93,255.44,2.44,0.48
W14,2016,11,8.05,234.8,66.95,143.07,121.92,614.31,240.49,0.95,0.51
W14,2017,7,7.52,222,75.08,113.41,128.87,609.4,279.23,1.2,0.54
W14,2017,10,7.4,244.09,77.95,85.79,130.67,682.51,215.33,2.59,0.22
W13,2002,9,7.6,133.47,24.55,5.1,77.43,150.81,218.29,48.17,1.06
W13,2003,6,7.8,88.34,29.69,74.75,94.33,111.6,208.8,93.75,1.9
W13,2004,9,7.6,142,25.1,40.9,80.7,109,211,39,0.7
W13,2005,4,7.7,146,31.6,55.5,81.5,76.4,248,19.9,1
W13,2006,9,7.8,112,27.3,62.9,123,145,250,22.4,1.2
W13,2007,4,8.1,101,49.2,89.7,126,108,244,25.3,1.6
W13,2008,9,7.3,90,21.2,108,139,103,177,24.5,1
W13,2009,4,7.3,109.2,63.1,79.3,137,133,300,24.4,1.6
W13,2010,9,7.4,200.42,53.85,177.54,187,151,223.25,152.6,0.98
W13,2011,4,7.6,70.8,25.3,163.84,116,124,146.5,280.8,1.7
W13,2011,9,7.5,82.4,29.4,203.3,122,124,394.5,180.7,1.8
W13,2012,4,7.6,97.7,34.8,222.2,182,137,482,278.1,1.21
W13,2012,9,7.8,96.4,34.4,289.3,134,155,446,187.3,1.1
W13,2013,7,8.05,149.1,33.41,180.86,131.29,157.405,331.745,270.305,0.955
W13,2013,10,8.3,201.8,32.42,72.42,128.58,159.81,217.49,353.31,0.81
W13,2014,8,7.5,98.19,22.63,75.81,115.26,144.38,115.96,109.91,1.04
W13,2014,12,7.81,183.37,36.09,76.86,124.17,145.35,252.98,276.41,0.95
W13,2015,4,7.75,172.66,35.93,67.36,120.57,140.74,216.25,291.63,1.24
W13,2015,9,8.28,115.71,26.93,84.94,116.2,166.77,226.99,99.36,0.84
W13,2016,6,7.8,115.35,24.15,81.81,136.43,195.51,249.21,127.75,1.72
W13,2016,11,8.25,257.96,24.1,281.98,115.15,156.63,225.46,105.75,0.21
W13,2017,7,7.72,116.2,29.44,80.32,92.62,168.9,220.16,80.72,1.14
W13,2017,10,7.82,102.21,24.36,74.64,105.33,157.48,197.03,82.56,1.07
W9,2002,9,7,127.78,28.49,64.17,113.41,160.23,214.85,103.72,0.36
W9,2003,6,8.4,107.5,37.44,67.45,136.84,135.48,55.27,222.5,0.25
W9,2004,9,7.5,88.6,64.5,43.5,130,108,281,13.3,0.4
W9,2005,4,7.9,76.4,14.8,17.3,118,76.2,181,24.4,0.4
W9,2006,9,7.9,143,21.3,47.1,119,179,280,17,0.2
W9,2007,4,8.1,190,4.3,95.8,116,133,281,15,0.2
W9,2008,9,7.7,139,14,99.8,116,182,205,35.9,0.2
W9,2009,4,7.5,186.9,14.7,61.3,122,146,295,30.4,0.2
W9,2010,9,7.5,94.53,13.02,66.81,84.1,85,232.95,124,0.42
W9,2011,4,7.4,67.2,24,139.2,128,152,170.9,112.9,0.31
W9,2011,9,7.6,83.7,29.9,187.9,82.6,141,367.7,220.1,0.38
W9,2012,4,7.5,76.2,27.2,224.1,116,138,404.1,52.3,0.2
W9,2012,9,7.3,72.9,26,173.9,159,137,454.4,46.5,0.12
